id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
11/4375,Natalie Schluter,"<h2><b>Natalie Schluter</b></h2><h3>dblp_id: 11/4375</h3><h3>DBLP URL: <a href='https://dblp.org/pid/11/4375'>https://dblp.org/pid/11/4375</a></h3><h3>Affiliation: Google Brain and IT University of Copenhagen, IT University of Copenhagen (Senior Chair)</h3>",https://dblp.org/pid/11/4375,-0.4938,-0.2229,3,14,46
49/3538,Ritesh Kumar,<h2><b>Ritesh Kumar</b></h2><h3>dblp_id: 49/3538</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/3538'>https://dblp.org/pid/49/3538</a></h3><h3>Affiliation: Bhimrao Ambedkar University</h3>,https://dblp.org/pid/49/3538,-0.6388,-0.1855,3,12,60
188/9080,Shruti Rijhwani,"<h2><b>Shruti Rijhwani</b></h2><h3>dblp_id: 188/9080</h3><h3>DBLP URL: <a href='https://dblp.org/pid/188/9080'>https://dblp.org/pid/188/9080</a></h3><h3>Affiliation: Carnegie Mellon University, Google</h3>",https://dblp.org/pid/188/9080,-0.2037,0.513,8,14,106
10/9231,Thang Vu,<h2><b>Thang Vu</b></h2><h3>dblp_id: 10/9231</h3><h3>DBLP URL: <a href='https://dblp.org/pid/10/9231'>https://dblp.org/pid/10/9231</a></h3><h3>Affiliation: University of Stuttgart</h3>,https://dblp.org/pid/10/9231,-0.561,0.3966,3,10,94
75/8157,Yulia Tsvetkov,"<h2><b>Yulia Tsvetkov</b></h2><h3>dblp_id: 75/8157</h3><h3>DBLP URL: <a href='https://dblp.org/pid/75/8157'>https://dblp.org/pid/75/8157</a></h3><h3>Affiliation: University of Washington, Unknown</h3>",https://dblp.org/pid/75/8157,-0.3568,0.9452,1,24,222
50/7562,Alice Oh,<h2><b>Alice Oh</b></h2><h3>dblp_id: 50/7562</h3><h3>DBLP URL: <a href='https://dblp.org/pid/50/7562'>https://dblp.org/pid/50/7562</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/50/7562,-0.1903,1.214,1,13,34
12/4444-1,Chris Reed,<h2><b>Chris Reed</b></h2><h3>dblp_id: 12/4444-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/12/4444-1'>https://dblp.org/pid/12/4444-1</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/12/4444-1,-0.8923,-0.0025,2,5,20
39/5799,David Bamman,"<h2><b>David Bamman</b></h2><h3>dblp_id: 39/5799</h3><h3>DBLP URL: <a href='https://dblp.org/pid/39/5799'>https://dblp.org/pid/39/5799</a></h3><h3>Affiliation: UC Berkeley, Unknown</h3>",https://dblp.org/pid/39/5799,-0.3466,1.1365,1,15,114
48/4613,David Jurgens,"<h2><b>David Jurgens</b></h2><h3>dblp_id: 48/4613</h3><h3>DBLP URL: <a href='https://dblp.org/pid/48/4613'>https://dblp.org/pid/48/4613</a></h3><h3>Affiliation: University of Michigan, Unknown</h3>",https://dblp.org/pid/48/4613,-0.7963,-0.246,1,25,132
82/2305,Jacob Eisenstein,"<h2><b>Jacob Eisenstein</b></h2><h3>dblp_id: 82/2305</h3><h3>DBLP URL: <a href='https://dblp.org/pid/82/2305'>https://dblp.org/pid/82/2305</a></h3><h3>Affiliation: Google, Unknown</h3>",https://dblp.org/pid/82/2305,-0.1351,1.1371,1,32,144
31/739,Louis-Philippe Morency,<h2><b>Louis-Philippe Morency</b></h2><h3>dblp_id: 31/739</h3><h3>DBLP URL: <a href='https://dblp.org/pid/31/739'>https://dblp.org/pid/31/739</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/31/739,0.705,0.1045,14,28,204
149/1367,Minjoon Seo,"<h2><b>Minjoon Seo</b></h2><h3>dblp_id: 149/1367</h3><h3>DBLP URL: <a href='https://dblp.org/pid/149/1367'>https://dblp.org/pid/149/1367</a></h3><h3>Affiliation: Korea Advanced Institute of Science and Technology, KAIST</h3>",https://dblp.org/pid/149/1367,0.4726,0.936,1,25,180
89/1576,Oren Tsur,<h2><b>Oren Tsur</b></h2><h3>dblp_id: 89/1576</h3><h3>DBLP URL: <a href='https://dblp.org/pid/89/1576'>https://dblp.org/pid/89/1576</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/89/1576,-0.4152,1.1524,1,9,34
