Aakar Gupta,[Facebook]
Claudia Loitsch,[TU Dresden]
Claudia-Lavinia Ignat,"[LORIA-Inria, France]"
Claudine Tinsman,[University of Oxford]
Claudio Pinhanez,[IBM Research]
Clemens Nylandsted Klokmose,[Aarhus University]
Cliff Lampe,[University of Michigan]
Colin Gray,[Purdue]
Corina Sas,[Lancaster University]
Cosmin Munteanu,"[University of Waterloo, University of Toronto Mississauga, Canada, University of Toronto]"
Cristian Bogdan,"[KTH, Sweden]"
Cristina Zaga,"[University of Twente, Design Lab, University of Twente, Netherlands, University of Twente, The Netherlands]"
Cuauhtémoc Rivera Loaiza,"[Universidad Michoacana de San Nicolás de Hidalgo, Universidad Michoacana]"
Cynthia Bennett,[CMU]
Céline Coutrix,[CNRS Grenoble]
Dafne Zuleima Morgado Ramirez,[University College London]
Daisuke Sakamoto,"[Hokkaido University, Japan]"
Daisy Yoo,[TU Eindhoven]
Dakuo Wang,"[IBM, Northeastern University, IBM Research, US, IBM Research, USA]"
Dan Russell,[Google]
Daniel Buschek,"[University of Bayreuth, Germany]"
Daniel Epstein,"[University of California, Irvine]"
Daniel Leithinger,[University of Colorado]
Daniel Rough,[University College Dublin]
Daniela Busse,"[Meta, eBay Inc., CA, USA]"
Danielle Albers Szafir,[University of Colorado Boulder]
Danielle Bragg,[Microsoft Research]
Danielle Wilde,"[University of Southern Denmark, University of Southern Denmark, Denmark]"
Danilo Gasques,[UC San Diego]
Danula Hettiachchi,"[University of Melbourne, Australia]"
Daria Loi,"[Intel Labs, US]"
Dave Murray-Rust,"[University of Edinburgh, USA]"
David A. Shamma,[Toyota Research Institute]
David Chatting,[Goldsmiths]
David Coyle,[University College Dublin]
David Flatla,"[University of Guelph, Canada]"
David Holman,[Tactual Labs]
David Lindlbauer,"[CMU, Carnegie Mellon University, ETH Zurich, Switzerland, ETH Zürich]"
David McGookin,"[Aalto University, Finland]"
David Verweij,"[Open Lab, Newcastle University, Newcastle, UK, Newcastle University, UK]"
Deborah Tatar,[Virginia Tech]
Derek Lomas,[Delft]
Dhruv Jain,[University of Washington]
Diego Martinez Plasencia,[University of Sussex]
Diego Muñoz,[Swinburne University of Technology]
Ding Wang,"[Microsoft Research, India]"
Dominic DiFranzo,[Lehigh University]
Dong-Bach Vo,"[University of Glasgow, UK]"
Dragan Ahmetovic,[University of Milan]
Duncan Brumby,"[University College London, UK]"
Duncan Reid,[University of Edinburgh]
Earl Huff,[Clemson University]
Edith Law,"[University of Waterloo, Canada, University of Waterloo]"
Eduardo Velloso,[University of Melbourne]
Edward Lank,[University of Waterloo]
Edward Melcer,"[University of California, Santa Cruz]"
Effie Law,[Leicester University]
Eiad Yafi,"[University of Technology Sydney & Institute of Business, Timor-Leste]"
Eleanor O'Rourke,[Northwestern University]
Elena Agapie,"[UC Irvine, USA]"
Elena Glassman,[Harvard University]
Elena L. Glassman,[Harvard]
Elena Márquez Segura,[Universidad Carlos III de Madrid]
Eli Blevis,[Indiana University]
Elin Carstensdottir,[University of California at Santa Cruz]
Elisa Mekeler,[Aalto University]
Elisa Mekler,"[Aalto University, Finland]"
Elisa Rubegni,[Lancaster University]
Elisabeth Churchill,"[Google, Mountain View, USA]"
Elizabeth Bonsignore,[University of Maryland]
Elizabeth Buie,"[Northumbria University, UK]"
Elizabeth Churchill,"[Google, Google, US]"
Elizabeth Eikey,[UC San Diego]
Elizabeth Murnane,[Dartmouth College]
Elizabeth Veinott,[Michigan Technological University]
Emeline Brulé,"[University of Sussex, Sussex University]"
Emilee Rader,[Michigan State University]
Emmanuel Pietriga,[Inria]
Enrico Rukzio,[University of Ulm]
Eran Toch,[Tel Aviv University]
Eric Hekler,[UC San Diego]
Eric Whitmire,[Facebook Reality Labs]
Erica Kleinman,[University of California Santa Cruz]
Erik Harpstead,[Carnegie Mellon University]
Erin Cherry,[Northrop Grumman Mission Systems]
Erin Solovey,[Worcester Polytechnic Institute]
Erin Walker,[University of Pittsburgh]
Esben Sørig,[Goldsmiths University of London]
Euan Freeman,"[University of Glasgow, UK]"
Eugénie Brasier,[CNRS & Université Paris Saclay]
Eun Kyoung Choe,[University of Maryland]
Eunice Sari,[UX Indonesia]
Eva Hornecker,"[Bauhaus-Universität Weimar, Bauhaus-Universität Weimar, Germany]"
Eve Hoggan,[Aarhus University]
Ewa Luger,"[University of Edinburgh, UK]"
Eyal Ofek,[Microsoft Research]
Eytan Adar,[University of Michigan]
Fabiano Pinatti,[University of Siegen]
Fabio Paterno,[CNR Italy]
Fanny Chevalier,[University of Toronto]
Faraz Faruqi,[Massachusetts Institute of Technology]
Fatma Meawad,"[University of Glasgow, Singapore]"
Fernando Maestre,[Indiana University]
Fiona Draxler,[LMU Munich]
Florian 'Floyd' Mueller,"[Monash University, Melbourne, Australia]"
Florian Alt,[Bundeswehr University Munich]
Florian Block,[University of York]
Florian Echtler,[Bauhaus-Universität Weimar]
Florian Schaub,"[University of Michigan, Ann Arbor]"
Foad Hamidi,[U of Maryland]
Francisco Nunes,[Fraunhofer Portugal AICOS]
Frank Bentley,"[Google, Yahoo]"
Frank Steinicke,"[Universität Hamburg, University of Hamburg]"
Frank Vetere,"[University of Melbourne, Australia]"
Fraser Anderson,[Autodesk Research]
Frederik Brudy,"[University College London, UK]"
Gabreila Richard,[Pennsylvania State University]
Gahgene Gweon,[Seoul National University]
Garreth Tigwell,[Rochester Institute of Technology]
Gary Hsieh,[University of Washington]
Gavin Doherty,[Trinity College Dublin]
Ge Gao,"[University of Maryland, USA]"
Germán Leiva,[Aarhus University]
Gionnieve Lim,[Singapore University of Technology and Design]
Giovanni Troiano,[Northeastern University]
Gonzalo Ramos,[Microsoft Research]
Gopianath Kanabiran,[Aarhus Univ]
