name,affiliation
Yuhao Zhu,University of Rochester
Brandic Ivona,Vienna University of Technology
Srikumar Venugopal,IBM Research Europe
Ilkay Altintas,"San Diego Supercomputer Center (SDSC); University of California, San Diego, Halicioglu Data Science Institute"
Mohsen Amini Salehi,"University of Louisiana, Lafayette"
Amy Apon,Clemson University
Atakan Aral,University of Vienna
João Barreto,"INESC-ID, IST, University of Lisbon"
Matthias A. Blumrich,NVIDIA Corporation
Alexandru Costan,"French Institute for Research in Computer Science and Automation (INRIA); National Institute for Research in Computer Science and Automation (Inria), France"
Tommaso Cucinotta,"Sant'Anna School of Advanced Studies, Pisa, Italy"
Vincenzo De Maio,Vienna University of Technology
Jörg Domaschka,"Ulm University; benchANT, Germany"
Aniruddha Gokhale,Vanderbilt University
Helen Gu,North Carolina State University
Alexandru Iosup,"Vrije University Amsterdam, Delft University of Technology"
Tamas Kiss,"University of Westminster, London"
Joanna Kolodziej,"Cracow University of Technology, Poland; NASK National Research Institute, Warsaw, Poland"
John Lange,"Oak Ridge National Laboratory (ORNL), University of Pittsburgh"
Xing Liu,Meta Platforms Inc
Claudia Misale,IBM
Marco Aurelio Stelmar Netto,IBM Corporation
Alessandro Vittorio Papadopoulos,"Malardalen University, Sweden"
Konstantinos Parasyris,Lawrence Livermore National Laboratory (LLNL)
Radu Prodan,"University of Klagenfurt, Austria"
María S. Pérez,Polytechnic University of Madrid
M. Mustafa Rafique,Rochester Institute of Technology
Ioan Raicu,"Illinois Institute of Technology, Argonne National Laboratory (ANL)"
Lavanya Ramakrishnan,Lawrence Berkeley National Laboratory (LBNL)
Krzysztof Rzadca,"Google LLC, University of Warsaw"
Vanish Talwar,Facebook
Douglas Thain,University of Notre Dame
Dakai Zhu,"University of Texas, San Antonio"
Scott Klasky,Oak Ridge National Laboratory (ORNL)
Daniela Ushizima,"Lawrence Berkeley National Laboratory (LBNL); University of California, Berkeley"
Vibhatha Abeykoon,Voltron Data
John Bent,Seagate Systems
Cristiana Bentes,Rio de Janeiro State University (UERJ)
