id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
38/8065,Miguel Ballesteros,"<h2><b>Miguel Ballesteros</b></h2><h3>dblp_id: 38/8065</h3><h3>DBLP URL: <a href='https://dblp.org/pid/38/8065'>https://dblp.org/pid/38/8065</a></h3><h3>Affiliation: AWS AI Labs, Unknown</h3>",https://dblp.org/pid/38/8065,-0.4607,-0.5016,1,30,302
131/6883,Naomi Saphra,<h2><b>Naomi Saphra</b></h2><h3>dblp_id: 131/6883</h3><h3>DBLP URL: <a href='https://dblp.org/pid/131/6883'>https://dblp.org/pid/131/6883</a></h3><h3>Affiliation: New York University</h3>,https://dblp.org/pid/131/6883,-0.5032,-0.437,1,29,108
90/5204,Noah A. Smith,<h2><b>Noah A. Smith</b></h2><h3>dblp_id: 90/5204</h3><h3>DBLP URL: <a href='https://dblp.org/pid/90/5204'>https://dblp.org/pid/90/5204</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/90/5204,-0.2704,-0.6797,1,80,1312
29/4187,Pascale Fung,<h2><b>Pascale Fung</b></h2><h3>dblp_id: 29/4187</h3><h3>DBLP URL: <a href='https://dblp.org/pid/29/4187'>https://dblp.org/pid/29/4187</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/29/4187,0.2928,0.1091,2,16,266
96/4705,Phil Blunsom,<h2><b>Phil Blunsom</b></h2><h3>dblp_id: 96/4705</h3><h3>DBLP URL: <a href='https://dblp.org/pid/96/4705'>https://dblp.org/pid/96/4705</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/96/4705,-0.5457,-0.6495,1,16,286
186/7066,Sebastian Ruder,<h2><b>Sebastian Ruder</b></h2><h3>dblp_id: 186/7066</h3><h3>DBLP URL: <a href='https://dblp.org/pid/186/7066'>https://dblp.org/pid/186/7066</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/186/7066,-0.8224,-0.0054,3,32,328
121/2036,Swabha Swayamdipta,<h2><b>Swabha Swayamdipta</b></h2><h3>dblp_id: 121/2036</h3><h3>DBLP URL: <a href='https://dblp.org/pid/121/2036'>https://dblp.org/pid/121/2036</a></h3><h3>Affiliation: Allen Institute for Artificial Intelligence</h3>,https://dblp.org/pid/121/2036,-0.2387,-0.7377,1,28,166
66/4613,Trevor Cohn,"<h2><b>Trevor Cohn</b></h2><h3>dblp_id: 66/4613</h3><h3>DBLP URL: <a href='https://dblp.org/pid/66/4613'>https://dblp.org/pid/66/4613</a></h3><h3>Affiliation: University of Melbourne, The University of Melbourne, Australia, Unknown</h3>",https://dblp.org/pid/66/4613,-0.7639,-0.2462,10,26,444
94/8323,Yangfeng Ji,<h2><b>Yangfeng Ji</b></h2><h3>dblp_id: 94/8323</h3><h3>DBLP URL: <a href='https://dblp.org/pid/94/8323'>https://dblp.org/pid/94/8323</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/94/8323,0.0668,-0.6129,9,26,108
122/3274,Yishu Miao,<h2><b>Yishu Miao</b></h2><h3>dblp_id: 122/3274</h3><h3>DBLP URL: <a href='https://dblp.org/pid/122/3274'>https://dblp.org/pid/122/3274</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/122/3274,-0.4463,0.232,4,7,48
68/5296,Yoav Goldberg,"<h2><b>Yoav Goldberg</b></h2><h3>dblp_id: 68/5296</h3><h3>DBLP URL: <a href='https://dblp.org/pid/68/5296'>https://dblp.org/pid/68/5296</a></h3><h3>Affiliation: Bar Ilan University, Unknown</h3>",https://dblp.org/pid/68/5296,-0.387,-0.5125,1,33,254
07/1501,Yoon Kim,"<h2><b>Yoon Kim</b></h2><h3>dblp_id: 07/1501</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/1501'>https://dblp.org/pid/07/1501</a></h3><h3>Affiliation: Massachusetts Institute of Technology, MIT, IBM</h3>",https://dblp.org/pid/07/1501,0.0037,-0.4168,1,9,114
11/4619,Yuji Matsumoto,<h2><b>Yuji Matsumoto</b></h2><h3>dblp_id: 11/4619</h3><h3>DBLP URL: <a href='https://dblp.org/pid/11/4619'>https://dblp.org/pid/11/4619</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/11/4619,0.621,-0.373,8,11,138
